Played_Id,Player,Team,Age,Position,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,Season,Goals_winsorized,Height_winsorized,Weight_winsorized,FatigueInjuryCorrelation_winsorized,PressurePerformanceImpact_winsorized,EffectiveTraining_winsorized
0,Player C,Team C,31,Defender,2.0,4,3,81.64491167972037,10.883001151396796,42,4,22,6,0.3745401188473625,55,0,18.39059471142627,2022,11.0,164.2382364537619,64.89955396719397,1.864902009779013,1.4166666666666667,247.0747628621092
1,Player D,Team C,22,Defender,16.0,8,2,76.28801786805352,5.650023687983772,17,6,27,6,0.9507143064099162,96,8,15.01721859229897,2019,2.0,164.4896428796635,55.63615910140583,0.2228573217623242,6.666666666666667,216.06604460661515
2,Player A,Team C,27,Defender,13.0,8,0,78.24726490329448,9.236842052422816,2,6,23,5,0.7319939418114051,36,8,17.96608436512796,2022,19.0,221.50724200559276,89.32584968634967,0.0,8.0,359.9367770069149
3,Player C,Team C,29,Forward,1.0,3,3,99.74274027848745,8.523576289995585,58,5,3,4,0.5986584841970366,37,4,19.3472164584684,2020,13.0,184.5673489593816,50.95230768154678,0.0774867744926575,2.142857142857143,271.34791068992786
4,Player C,Team C,27,Defender,8.0,1,2,51.430636397089856,7.239479412607473,61,3,12,8,0.1560186404424365,14,1,6.884614656643946,2022,6.0,192.1728130438869,78.83288083269557,1.0298223935138813,9.857142857142858,112.18595216347336
5,Player D,Team A,28,Forward,7.0,1,4,95.748608047319,8.119712677433899,38,7,23,1,0.1559945203362026,27,8,6.448808454034185,2020,6.0,195.9700122792626,55.1368811656406,1.5178046603793791,1.2857142857142858,299.99533365562553
6,Player A,Team C,19,Midfielder,8.0,8,3,92.0945380791152,5.005241040704807,90,11,0,2,0.0580836121681994,83,7,17.051117398844536,2020,13.0,184.9501353747693,78.36580480505339,3.712316988027693,5.785714285714286,267.18138052501473
7,Player A,Team C,22,Goalkeeper,5.0,8,1,81.66640936946251,8.240935434929092,63,1,18,8,0.8661761457749352,31,9,17.991890886412556,2020,11.0,160.22525250992214,52.79525324859265,1.9199147817182585,7.75,187.08071292149492
8,Player C,Team A,24,Goalkeeper,1.0,2,0,94.04731768191814,5.784083422362598,72,12,29,1,0.6011150117432088,73,9,13.756421313169785,2020,36.0,167.45267106074135,108.4652082426138,0.7579372828413474,0.4012247489886273,588.3103625602882
9,Player B,Team A,23,Goalkeeper,3.0,4,2,82.42806211864246,14.213021727481411,80,12,19,2,0.7080725777960455,81,5,10.49000821625781,2020,26.0,184.4671810271383,64.6817295756996,5.126407668152073,2.925925925925926,539.6323304247805
10,Player C,Team A,39,Defender,13.0,4,2,94.46772583506052,5.74332880046846,59,7,4,5,0.0205844942958024,83,6,14.789444541128356,2019,31.0,174.5329790227604,81.56528321710223,1.0796096806199735,5.024166666666667,281.1165516182141
11,Player C,Team A,20,Goalkeeper,12.0,1,0,79.7365441131573,14.531058877156743,41,12,12,9,0.9699098521619944,44,5,9.58496108888686,2021,27.0,180.05403974534983,103.81749278260546,0.0,2.357142857142857,206.8442925131479
12,Player C,Team A,30,Midfielder,12.0,1,3,69.71193221410745,9.914263347434638,4,13,15,6,0.8324426408004217,68,4,8.575785382302023,2021,10.0,161.73588714314243,102.23862429325436,0.0,4.818181818181818,120.4531916528158
13,Player C,Team A,20,Forward,12.0,9,1,78.81106920258867,10.131731552932926,45,4,15,1,0.2123391106782761,48,3,12.322178142908982,2021,0.0,173.9391190318262,65.33268531494409,1.46740178685672,12.938095238095237,94.6981213169735
14,Player D,Team C,38,Goalkeeper,4.0,0,4,58.95311239650686,12.881257386811264,3,6,10,7,0.1818249672071006,57,6,8.242307414095695,2019,22.0,167.1671869850129,80.11904576972618,0.8292802644525203,2.4347826086956523,183.12452897420044
15,Player A,Team C,23,Forward,11.0,1,3,68.30006428411585,11.953797125684524,13,2,8,8,0.1834045098534338,75,3,12.255554124727594,2020,12.0,185.8828066503549,100.09716437987376,0.6935581547400088,6.076923076923077,169.0112019196737
16,Player D,Team B,28,Forward,5.0,6,0,75.4639628698597,7.370611228891958,92,13,17,0,0.3042422429595377,22,9,19.34909758195358,2021,49.0,178.5708947729736,95.96338444883219,0.7031385962063181,3.1379310344827585,342.67500953092025
17,Player D,Team C,34,Goalkeeper,13.0,0,3,97.37383082677924,5.254663490440628,10,6,14,5,0.5247564316322378,4,9,17.59676053426086,2021,23.0,179.81270587735634,122.05314097868902,2.7078344109311416,0.2916666666666667,564.3048141191995
